assemblyID,Species,clade,subfamily,tribe
Avena_sativa_cv_Sang_v1_assembly,Avena sativa,BOP,Pooideae,Poeae
RSPBVictoria1.0,Avena sativa,BOP,Pooideae,Poeae
SRR23019232,Avena sterilis,BOP,Pooideae,Poeae
ERR5945840,Avena strigosa,BOP,Pooideae,Poeae
SRR14914973,Avena ventricosa,BOP,Pooideae,Poeae
Avena_wiestii,Avena wiestii,BOP,Pooideae,Poeae
SRR13627099,Bambusa albolineata,BOP,Bambusoideae,Bambuseae
SRR18907695,Bambusa grandis,BOP,Bambusoideae,Bambuseae
KIB_Bamp_2,Bonia amplexicaulis,BOP,Bambusoideae,Bambuseae
AN21TSTL0190,Bothriochloa alta,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0191,Bothriochloa barbinodis,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0276,Bothriochloa bladhii,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0240,Bothriochloa campii,PACMAD,Panicoideae,Andropogoneae
AN22TNTL169,Bothriochloa campii,PACMAD,Panicoideae,Andropogoneae
AN20T014,Bothriochloa decipiens,PACMAD,Panicoideae,Andropogoneae
ASM2333362v1,Bothriochloa decipiens,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0277,Bothriochloa edwardsiana,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0278,Bothriochloa ewartiana,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0189,Bothriochloa exaristata,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0279,Bothriochloa grahamii,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0081,Bothriochloa hirtifolia,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0082,Bothriochloa hirtifolia,PACMAD,Panicoideae,Andropogoneae
AN22TNTL126,Bothriochloa hirtifolia,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0280,Bothriochloa hybrida,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0079,Bothriochloa imperatoides,PACMAD,Panicoideae,Andropogoneae
A1010002,Bothriochloa insculpta,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0281,Bothriochloa ischaemum,PACMAD,Panicoideae,Andropogoneae
Bl-K1279B-DRAFT-PanAnd-1.0,Bothriochloa laguroides,PACMAD,Panicoideae,Andropogoneae
AN21TS58,Bothriochloa longipaniculata,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0175,Bothriochloa macra,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0271,Bothriochloa macra,PACMAD,Panicoideae,Andropogoneae
AN20TSCR000199,Bothriochloa pertusa,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0219,Bothriochloa radicans,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0220,Bothriochloa saccharoides,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0085,Bothriochloa springfieldii,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0221,Bothriochloa springfieldii,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0083,Bothriochloa torreyana,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0222,Bothriochloa woodrovii,PACMAD,Panicoideae,Andropogoneae
BdistachyonTek_4_332_v1,Brachypodium distachyon,BOP,Pooideae,Brachypodieae
Brachypodium_distachyon_v3.0,Brachypodium distachyon,BOP,Pooideae,Brachypodieae
ASM289233v1,Brachypodium distachyon,BOP,Pooideae,Brachypodieae
ASM289229v1,Brachypodium distachyon,BOP,Pooideae,Brachypodieae
ASM174212v1,Brachypodium distachyon,BOP,Pooideae,Brachypodieae
Bhybridum_463_v1.0,Brachypodium hybridum,BOP,Pooideae,Brachypodieae
Brachypodium_stacei,Brachypodium stacei,BOP,Pooideae,Brachypodieae
lpBroSter1.1,Bromus sterilis,BOP,Pooideae,Bromeae
lpBroSter1.1_alternate_haplotype,Bromus sterilis,BOP,Pooideae,Bromeae
